Início de Coleta;Serviço 1;Embarcação 1;16-09-2014-10:00:26;samsung-SM-T211M;16/09/2014 10:00:26
16/09/2014 10:00:29;-26.244447771459818;-48.64094266667962;0.8523358;6.1770406;7.0293760,0
16/09/2014 10:00:30;-26.244447771459818;-48.64094266667962;-0.91937345;6.6175733;8.427590,0
16/09/2014 10:00:30;-26.244447771459818;-48.64094266667962;-0.91937345;6.6175733;8.427590,0
16/09/2014 10:00:34;-26.244447310455143;-48.64094501361251;-0.37349546;7.7189064;6.1674640,9
16/09/2014 10:00:35;-26.244444083422422;-48.640945767983794;0.37349546;7.4603324;5.3151281,4
16/09/2014 10:00:35;-26.244444083422422;-48.640945767983794;0.37349546;7.4603324;5.3151281,4
16/09/2014 10:00:39;-26.244453135877848;-48.64094761200249;0.25857377;7.374141;5.3534352,2
16/09/2014 10:00:40;-26.244462397880852;-48.64095046184957;0.6703765;7.7189064;6.46434453,2
16/09/2014 10:00:40;-26.244462397880852;-48.64095046184957;0.19153613;7.833828;6.148313,2
16/09/2014 10:00:44;-26.244508498348296;-48.64099840633571;0.0;7.8529816;4.9990938,6
16/09/2014 10:00:45;-26.244514575228095;-48.64102623425424;-0.18195933;7.7093296;5.4492039,7
16/09/2014 10:00:45;-26.244514575228095;-48.64102623425424;-0.18195933;7.7093296;5.4492039,7
16/09/2014 10:00:49;-26.244478658773005;-48.64116705022752;1.0055647;8.848969;4.05098915,5
16/09/2014 10:00:50;-26.24444684945047;-48.641207953915;0.9768343;8.925584;3.581725818,5
16/09/2014 10:00:50;-26.24444684945047;-48.641207953915;0.9768343;8.925584;3.581725818,5
16/09/2014 10:00:54;-26.244260016828775;-48.64140685647726;-0.7469909;8.293514;2.193088827,5
16/09/2014 10:00:55;-26.244205785915256;-48.64146402105689;1.4748282;9.222465;6.454767729,0
16/09/2014 10:00:55;-26.244205785915256;-48.64146402105689;1.4748282;9.222465;6.454767729,0
16/09/2014 10:00:59;-26.243990119546652;-48.64167893305421;-0.545878;6.9048777;5.774814625,0
16/09/2014 10:01:00;-26.243946407921612;-48.64172821864486;-1.982399;7.1251445;6.49307524,8
16/09/2014 10:01:00;-26.243946407921612;-48.64172821864486;-1.982399;7.1251445;6.49307524,8
16/09/2014 10:01:04;-26.243778057396412;-48.64198931492865;-0.63206923;6.1387334;3.533841630,4
16/09/2014 10:01:05;-26.243738033808768;-48.642065254971385;2.2218192;7.785944;5.9376231,3
16/09/2014 10:01:05;-26.243738033808768;-48.642065254971385;2.2218192;7.785944;5.9376231,3
16/09/2014 10:01:09;-26.243573161773384;-48.64238938316703;0.25857377;6.9048777;8.216934,0
16/09/2014 10:01:10;-26.24353100080043;-48.64247336983681;-0.36391866;6.042965;7.709329634,2
16/09/2014 10:01:10;-26.24353100080043;-48.64247336983681;-0.36391866;6.042965;7.709329634,2
16/09/2014 10:01:14;-26.243363614194095;-48.642823649570346;-0.33518824;3.7541082;10.0173435,5
16/09/2014 10:01:15;-26.243324344977736;-48.642913084477186;-0.39264908;4.6255975;7.709329635,5
16/09/2014 10:01:15;-26.243324344977736;-48.642913084477186;-0.39264908;4.6255975;7.709329635,5
16/09/2014 10:01:19;-26.24317062087357;-48.64327761344612;-1.1492168;4.9799395;8.40843736,0
16/09/2014 10:01:20;-26.24313218984753;-48.643371323123574;-3.1890767;5.353435;5.86100636,5
16/09/2014 10:01:20;-26.24313218984753;-48.643371323123574;-3.1890767;5.353435;5.86100636,5
16/09/2014 10:01:24;-26.242997241206467;-48.64374817349017;0.60333884;3.6774938;11.69328136,0
16/09/2014 10:01:25;-26.242966102436185;-48.64384540356696;-2.7485435;3.4380736;11.76031936,5
16/09/2014 10:01:25;-26.242966102436185;-48.64384540356696;-2.7485435;3.4380736;11.76031936,5
16/09/2014 10:01:29;-26.242860197089612;-48.644232815131545;-3.1316159;5.3725886;6.684611336,2
16/09/2014 10:01:30;-26.242837691679597;-48.64433130249381;-3.4284968;4.2999864;6.368576536,5
16/09/2014 10:01:30;-26.242837691679597;-48.64433130249381;-3.4284968;4.2999864;6.368576536,5
16/09/2014 10:01:34;-26.242771348915994;-48.644731203094125;-2.9113493;5.305551;7.862558436,5
16/09/2014 10:01:35;-26.242761039175093;-48.64483161829412;-2.825158;4.3861775;8.753201536,2
16/09/2014 10:01:35;-26.242761039175093;-48.64483161829412;-2.825158;4.3861775;8.753201536,2
16/09/2014 10:01:39;-26.242722147144377;-48.64523470401764;-2.3463178;4.5777135;7.24964336,2
16/09/2014 10:01:40;-26.242712759412825;-48.64533478394151;-1.4269443;3.6487634;10.14183836,2
16/09/2014 10:01:40;-26.242712759412825;-48.64533478394151;-1.4269443;3.6487634;10.14183836,2
16/09/2014 10:01:44;-26.24267407692969;-48.64573803730309;-3.1890767;3.466804;11.38682436,5
16/09/2014 10:01:45;-26.242663096636534;-48.645841805264354;0.21068975;4.185065;7.77636736,7
16/09/2014 10:01:45;-26.242663096636534;-48.645841805264354;0.21068975;4.185065;7.77636736,7
16/09/2014 10:01:49;-26.242624162696302;-48.646247489377856;-1.6472107;2.3463178;11.961431536,5
16/09/2014 10:01:50;-26.24261557124555;-48.64634773693979;-2.2122424;4.156334;8.13070936,2
16/09/2014 10:01:50;-26.24261557124555;-48.64634773693979;-2.2122424;4.156334;8.13070936,2
16/09/2014 10:01:54;-26.24259101226926;-48.64675099030137;0.80445176;4.960786;6.39730736,0
16/09/2014 10:01:55;-26.242585689760745;-48.64685031585395;-0.038307227;5.046977;7.74763736,0
16/09/2014 10:01:55;-26.242585689760745;-48.64685031585395;-0.038307227;5.046977;7.74763736,0
16/09/2014 10:01:59;-26.242568087764084;-48.647251054644585;-1.484405;5.401319;10.27591335,8
16/09/2014 10:02:00;-26.242566034197807;-48.64735138602555;-2.7102363;5.4683566;9.06923636,2
16/09/2014 10:02:00;-26.242566034197807;-48.64735138602555;-2.7102363;5.4683566;9.06923636,2
16/09/2014 10:02:04;-26.242560208775103;-48.647753801196814;-1.7238252;1.7046716;10.82179236,2
16/09/2014 10:02:05;-26.242555850185454;-48.647854970768094;-1.4939818;4.7979803;8.37970636,5
16/09/2014 10:02:05;-26.242555850185454;-48.647854970768094;-1.4939818;4.7979803;8.37970636,5
16/09/2014 10:02:09;-26.242542061954737;-48.648262498900294;-2.0494366;5.5641246;5.26724436,5
16/09/2014 10:02:10;-26.242541433312;-48.64836450666189;-1.7812861;4.8267107;9.21288836,5
16/09/2014 10:02:10;-26.242541433312;-48.64836450666189;-1.7812861;4.8267107;9.21288836,5
16/09/2014 10:02:14;-26.24252957291901;-48.648773627355695;-1.8866309;6.4643445;8.32224536,9
16/09/2014 10:02:15;-26.242525381967425;-48.64887597039342;-2.9400797;4.271256;11.97100836,7
16/09/2014 10:02:15;-26.242525381967425;-48.64887597039342;-2.9400797;4.271256;11.97100836,7
16/09/2014 10:02:19;-26.242504469119012;-48.649285677820444;-2.1643584;3.8977604;3.01669436,2
16/09/2014 10:02:20;-26.242499607615173;-48.64938659593463;-4.606444;5.995081;4.845864336,2
16/09/2014 10:02:20;-26.242499607615173;-48.64938659593463;-4.606444;5.995081;4.845864336,2
16/09/2014 10:02:24;-26.242473665624857;-48.649793956428766;1.2737153;3.5338416;7.88171236,0
16/09/2014 10:02:25;-26.242468091659248;-48.64989336580038;0.1340753;3.7924154;8.31266836,0
16/09/2014 10:02:25;-26.242468091659248;-48.64989336580038;0.1340753;3.7924154;8.31266836,0
16/09/2014 10:02:29;-26.242447681725025;-48.65030189976096;1.091756;3.4093432;7.60398536,7
16/09/2014 10:02:30;-26.24244277831167;-48.650402231141925;-0.4213795;4.3766007;8.140285536,5
16/09/2014 10:02:30;-26.24244277831167;-48.650402231141925;-0.4213795;4.3766007;8.140285536,5
16/09/2014 10:02:34;-26.24241344165057;-48.65080967545509;-0.2777274;1.8387469;11.64539736,7
16/09/2014 10:02:35;-26.242407448589802;-48.65091017447412;2.9400797;-3.1603463;11.27190136,2
16/09/2014 10:02:35;-26.242407448589802;-48.65091017447412;2.9400797;-3.1603463;11.27190136,2
16/09/2014 10:02:39;-26.242378363385797;-48.65130747668445;-0.019153614;3.1890767;9.01177536,0
16/09/2014 10:02:40;-26.24236880801618;-48.65140772424638;0.90979666;3.8881836;8.48505136,2
16/09/2014 10:02:40;-26.24236880801618;-48.65140772424638;0.90979666;3.8881836;8.48505136,2
16/09/2014 10:02:44;-26.24230883549899;-48.65180829539895;-1.3215994;1.7621324;10.10353136,5
